SiteBlock,Site,Block,BlockB,Start,Month,Date,PlantID,Leaf,Replicate,Force,Thickness,Length,Width
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,6,Top,1,0.76,0.542,131,46
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,2,Top,2,0.55,0.328,175,71
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,4,Top,2,0.55,0.287,160,74
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,6,Top,2,0.8,0.459,128,44
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,26,Bottom,1,0.92,0.261,216,113
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,28,Bottom,1,0.88,0.328,211,116
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,30,Bottom,1,0.8,0.26,197,83
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,26,Bottom,2,0.97,0.317,210,100
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,28,Bottom,2,1.24,0.213,210,116
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,30,Bottom,2,1,0.315,216,113
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,26,Top,1,1,0.293,146,53
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,28,Top,1,1,0.275,140,52
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,30,Top,1,0.82,0.332,129,48
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,26,Top,2,0.92,0.244,158,56
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,28,Top,2,0.91,0.274,154,55
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,30,Top,2,0.98,0.329,160,57
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,2,Bottom,1,0.76,0.311,228,112
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,4,Bottom,1,1.2,0.366,212,99
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,6,Bottom,1,0.74,0.313,244,117
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,2,Bottom,2,0.82,0.303,230,112
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,4,Bottom,2,0.68,0.253,215,95
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,6,Bottom,2,1.28,0.251,225,117
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,2,Top,1,1.2,0.276,162,65
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,4,Top,1,0.7,0.246,172,57
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,6,Top,1,0.91,0.563,90,57
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,2,Top,2,1,0.342,152,64
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,4,Top,2,0.9,0.253,160,58
MDM3,MDM,3,a,6/28/2024,June,6/28/2024,6,Top,2,0.89,0.268,144,81
RS1,RS,1,a,6/11/2024,June,6/11/2024,5,Bottom,1,0.99,0.343,105,68
RS1,RS,1,a,6/11/2024,June,6/11/2024,15,Bottom,1,1.24,0.494,98,57
RS1,RS,1,a,6/11/2024,June,6/11/2024,30,Bottom,1,0.86,0.393,49,55
RS1,RS,1,a,6/11/2024,June,6/11/2024,5,Bottom,2,1.3,0.378,125,77
RS1,RS,1,a,6/11/2024,June,6/11/2024,15,Bottom,2,0.81,0.259,97,55
RS1,RS,1,a,6/11/2024,June,6/11/2024,30,Bottom,2,0.6,0.684,65,61
RS1,RS,1,a,6/11/2024,June,6/11/2024,5,Top,1,0.61,0.609,117,53
RS1,RS,1,a,6/11/2024,June,6/11/2024,15,Top,1,0.6,0.418,96,49
RS1,RS,1,a,6/11/2024,June,6/11/2024,30,Top,1,0.51,0.624,117,69
RS1,RS,1,a,6/11/2024,June,6/11/2024,5,Top,2,0.65,0.444,98,45
RS1,RS,1,a,6/11/2024,June,6/11/2024,15,Top,2,0.64,0.356,95,46
RS1,RS,1,a,6/11/2024,June,6/11/2024,30,Top,2,0.81,0.233,123,69
RS1,RS,1,a,6/11/2024,June,6/11/2024,10,Bottom,1,0.71,0.253,85,49
RS1,RS,1,a,6/11/2024,June,6/11/2024,11,Bottom,1,0.83,0.411,46,24
RS1,RS,1,a,6/11/2024,June,6/11/2024,16,Bottom,1,1,0.39,101,58
RS1,RS,1,a,6/11/2024,June,6/11/2024,10,Bottom,2,1,0.454,85,46
RS1,RS,1,a,6/11/2024,June,6/11/2024,11,Bottom,2,0.8,0.26,56,27
RS1,RS,1,a,6/11/2024,June,6/11/2024,16,Bottom,2,0.95,0.242,109,43
RS1,RS,1,a,6/11/2024,June,6/11/2024,10,Top,1,0.45,0.471,70,34
RS1,RS,1,a,6/11/2024,June,6/11/2024,11,Top,1,0.62,0.492,86,45
RS1,RS,1,a,6/11/2024,June,6/11/2024,16,Top,1,0.8,0.403,75,41
RS1,RS,1,a,6/11/2024,June,6/11/2024,10,Top,2,0.45,0.503,74,36
RS1,RS,1,a,6/11/2024,June,6/11/2024,11,Top,2,0.59,0.516,75,42
RS1,RS,1,a,6/11/2024,June,6/11/2024,16,Top,2,0.62,0.375,51,26
RS1,RS,1,b,6/11/2024,June,6/11/2024,11,Bottom,1,0.8,0.476,56,37
RS1,RS,1,b,6/11/2024,June,6/11/2024,25,Bottom,1,0.85,0.57,124,68
RS1,RS,1,b,6/11/2024,June,6/11/2024,29,Bottom,1,1,0.616,93,59
RS1,RS,1,b,6/11/2024,June,6/11/2024,11,Bottom,2,0.65,0.379,85,66
RS1,RS,1,b,6/11/2024,June,6/11/2024,25,Bottom,2,0.91,0.318,107,71
RS1,RS,1,b,6/11/2024,June,6/11/2024,29,Bottom,2,0.72,0.633,83,47
RS1,RS,1,b,6/11/2024,June,6/11/2024,11,Top,1,0.58,0.317,81,44
RS1,RS,1,b,6/11/2024,June,6/11/2024,25,Top,1,0.65,0.529,111,45
RS1,RS,1,b,6/11/2024,June,6/11/2024,29,Top,1,0.56,0.627,100,54
RS1,RS,1,b,6/11/2024,June,6/11/2024,11,Top,2,0.64,0.567,85,57
RS1,RS,1,b,6/11/2024,June,6/11/2024,25,Top,2,0.47,0.491,97,46
RS1,RS,1,b,6/11/2024,June,6/11/2024,29,Top,2,0.72,0.629,85,45
RS1,RS,1,b,6/11/2024,June,6/11/2024,4,Bottom,1,1.35,0.726,123,60
RS1,RS,1,b,6/11/2024,June,6/11/2024,18,Bottom,1,0.7,0.401,77,43
RS1,RS,1,b,6/11/2024,June,6/11/2024,20,Bottom,1,0.75,0.293,109,53
RS1,RS,1,b,6/11/2024,June,6/11/2024,4,Bottom,2,1.3,0.38,88,56
RS1,RS,1,b,6/11/2024,June,6/11/2024,18,Bottom,2,0.9,0.412,78,47
RS1,RS,1,b,6/11/2024,June,6/11/2024,20,Bottom,2,0.8,0.512,106,59
RS1,RS,1,b,6/11/2024,June,6/11/2024,4,Top,1,0.64,0.396,58,24
RS1,RS,1,b,6/11/2024,June,6/11/2024,18,Top,1,0.58,0.481,83,34
RS1,RS,1,b,6/11/2024,June,6/11/2024,20,Top,1,0.56,0.553,103,53
RS1,RS,1,b,6/11/2024,June,6/11/2024,4,Top,2,0.84,0.548,57,28
RS1,RS,1,b,6/11/2024,June,6/11/2024,18,Top,2,0.63,0.535,76,35
RS1,RS,1,b,6/11/2024,June,6/11/2024,20,Top,2,0.36,0.399,91,44
RS2,RS,2,a,6/17/2024,June,6/17/2024,9,Bottom,1,0.79,0.641,92,58
RS2,RS,2,a,6/17/2024,June,6/17/2024,12,Bottom,1,1.28,0.393,114,62
RS2,RS,2,a,6/17/2024,June,6/17/2024,24,Bottom,1,0.47,0.3,81,51
RS2,RS,2,a,6/17/2024,June,6/17/2024,9,Bottom,2,0.9,0.649,99,62
RS2,RS,2,a,6/17/2024,June,6/17/2024,12,Bottom,2,1,0.335,114,58
RS2,RS,2,a,6/17/2024,June,6/17/2024,24,Bottom,2,0.7,0.296,66,44
RS2,RS,2,a,6/17/2024,June,6/17/2024,9,Top,1,0.6,0.567,94,41
RS2,RS,2,a,6/17/2024,June,6/17/2024,12,Top,1,0.79,0.615,119,54
RS2,RS,2,a,6/17/2024,June,6/17/2024,24,Top,1,0.75,0.439,104,51
RS2,RS,2,a,6/17/2024,June,6/17/2024,9,Top,2,0.83,0.354,82,38
RS2,RS,2,a,6/17/2024,June,6/17/2024,12,Top,2,0.59,0.378,112,46
RS2,RS,2,a,6/17/2024,June,6/17/2024,24,Top,2,0.75,0.378,87,40
RS2,RS,2,a,6/17/2024,June,6/17/2024,19,Bottom,1,0.9,0.384,116,71
RS2,RS,2,a,6/17/2024,June,6/17/2024,21,Bottom,1,1.12,0.311,79,55
RS2,RS,2,a,6/17/2024,June,6/17/2024,25,Bottom,1,0.56,0.219,120,53
RS2,RS,2,a,6/17/2024,June,6/17/2024,19,Bottom,2,0.61,0.348,115,68
RS2,RS,2,a,6/17/2024,June,6/17/2024,21,Bottom,2,0.88,0.335,94,57
RS2,RS,2,a,6/17/2024,June,6/17/2024,25,Bottom,2,1,0.301,111,50
RS2,RS,2,a,6/17/2024,June,6/17/2024,19,Top,1,0.9,0.527,109,54
RS2,RS,2,a,6/17/2024,June,6/17/2024,21,Top,1,0.7,0.476,80,38
RS2,RS,2,a,6/17/2024,June,6/17/2024,25,Top,1,0.55,0.381,74,29
RS2,RS,2,a,6/17/2024,June,6/17/2024,19,Top,2,0.83,0.456,110,52
RS2,RS,2,a,6/17/2024,June,6/17/2024,21,Top,2,0.62,0.452,69,26
RS2,RS,2,a,6/17/2024,June,6/17/2024,25,Top,2,0.61,0.393,75,31
RS2,RS,2,b,6/17/2024,June,6/17/2024,1,Bottom,1,1.11,0.302,126,73
RS2,RS,2,b,6/17/2024,June,6/17/2024,21,Bottom,1,0.6,0.242,114,53
RS2,RS,2,b,6/17/2024,June,6/17/2024,29,Bottom,1,0.49,0.439,131,74
RS2,RS,2,b,6/17/2024,June,6/17/2024,1,Bottom,2,0.52,0.291,144,85
RS2,RS,2,b,6/17/2024,June,6/17/2024,21,Bottom,2,1.18,0.262,130,75
RS2,RS,2,b,6/17/2024,June,6/17/2024,29,Bottom,2,0.78,0.451,135,75
RS2,RS,2,b,6/17/2024,June,6/17/2024,1,Top,1,0.41,0.429,70,32
RS2,RS,2,b,6/17/2024,June,6/17/2024,21,Top,1,0.42,0.426,80,31
RS2,RS,2,b,6/17/2024,June,6/17/2024,29,Top,1,0.6,0.437,86,41
RS2,RS,2,b,6/17/2024,June,6/17/2024,1,Top,2,0.39,0.417,77,32
RS2,RS,2,b,6/17/2024,June,6/17/2024,21,Top,2,0.62,0.41,100,46
RS2,RS,2,b,6/17/2024,June,6/17/2024,29,Top,2,0.66,0.544,72,32
RS2,RS,2,b,6/17/2024,June,6/17/2024,4,Bottom,1,0.9,0.295,86,92
RS2,RS,2,b,6/17/2024,June,6/17/2024,20,Bottom,1,0.78,0.351,125,76
RS2,RS,2,b,6/17/2024,June,6/17/2024,48,Bottom,1,0.82,0.539,91,53
RS2,RS,2,b,6/17/2024,June,6/17/2024,4,Bottom,2,0.89,0.359,77,86
RS2,RS,2,b,6/17/2024,June,6/17/2024,20,Bottom,2,0.7,0.309,121,85
RS2,RS,2,b,6/17/2024,June,6/17/2024,48,Bottom,2,0.68,0.381,92,51
RS2,RS,2,b,6/17/2024,June,6/17/2024,4,Top,1,0.56,0.544,75,42
RS2,RS,2,b,6/17/2024,June,6/17/2024,20,Top,1,0.46,0.553,95,47
RS2,RS,2,b,6/17/2024,June,6/17/2024,48,Top,1,0.6,0.343,102,46
RS2,RS,2,b,6/17/2024,June,6/17/2024,4,Top,2,0.71,0.503,82,58
RS2,RS,2,b,6/17/2024,June,6/17/2024,20,Top,2,0.62,0.552,88,39
RS2,RS,2,b,6/17/2024,June,6/17/2024,48,Top,2,0.78,0.498,91,45
RS3,RS,3,a,6/25/2024,June,6/25/2024,20,Bottom,1,1.05,0.312,107,50
RS3,RS,3,a,6/25/2024,June,6/25/2024,23,Bottom,1,1,0.316,116,53
RS3,RS,3,a,6/25/2024,June,6/25/2024,32,Bottom,1,1.08,0.367,104,45
RS3,RS,3,a,6/25/2024,June,6/25/2024,20,Bottom,2,1.1,0.441,110,56
RS3,RS,3,a,6/25/2024,June,6/25/2024,23,Bottom,2,0.8,0.314,123,56
RS3,RS,3,a,6/25/2024,June,6/25/2024,32,Bottom,2,0.09,0.303,99,41
RS3,RS,3,a,6/25/2024,June,6/25/2024,20,Top,1,0.91,0.25,65,24
RS3,RS,3,a,6/25/2024,June,6/25/2024,23,Top,1,0.88,0.368,101,32
RS3,RS,3,a,6/25/2024,June,6/25/2024,32,Top,1,1.29,0.435,125,45
RS3,RS,3,a,6/25/2024,June,6/25/2024,20,Top,2,0.75,0.341,75,33
RS3,RS,3,a,6/25/2024,June,6/25/2024,23,Top,2,0.68,0.363,100,34
RS3,RS,3,a,6/25/2024,June,6/25/2024,32,Top,2,1.2,0.396,124,41
RS3,RS,3,a,6/25/2024,June,6/25/2024,18,Bottom,1,1.05,0.286,119,71
RS3,RS,3,a,6/25/2024,June,6/25/2024,33,Bottom,1,0.75,0.306,100,41
RS3,RS,3,a,6/25/2024,June,6/25/2024,43,Bottom,1,1.05,0.414,127,50
RS3,RS,3,a,6/25/2024,June,6/25/2024,18,Bottom,2,0.65,0.28,113,58
RS3,RS,3,a,6/25/2024,June,6/25/2024,33,Bottom,2,0.85,0.426,79,29
RS3,RS,3,a,6/25/2024,June,6/25/2024,43,Bottom,2,1.19,0.34,135,50
RS3,RS,3,a,6/25/2024,June,6/25/2024,18,Top,1,0.84,0.355,99,38
RS3,RS,3,a,6/25/2024,June,6/25/2024,33,Top,1,0.92,0.369,120,44
RS3,RS,3,a,6/25/2024,June,6/25/2024,43,Top,1,0.69,0.37,71,22
RS3,RS,3,a,6/25/2024,June,6/25/2024,18,Top,2,1,0.378,96,40
RS3,RS,3,a,6/25/2024,June,6/25/2024,33,Top,2,1.05,0.364,114,38
RS3,RS,3,a,6/25/2024,June,6/25/2024,43,Top,2,0.75,0.421,96,30
RS3,RS,3,b,6/25/2024,June,6/25/2024,12,Bottom,1,0.9,0.443,102,49
RS3,RS,3,b,6/25/2024,June,6/25/2024,40,Bottom,1,0.9,0.371,133,62
RS3,RS,3,b,6/25/2024,June,6/25/2024,44,Bottom,1,0.92,0.302,102,55
RS3,RS,3,b,6/25/2024,June,6/25/2024,12,Bottom,2,0.9,0.318,114,53
RS3,RS,3,b,6/25/2024,June,6/25/2024,40,Bottom,2,1.2,0.358,142,66
RS3,RS,3,b,6/25/2024,June,6/25/2024,44,Bottom,2,0.82,0.339,105,53
RS3,RS,3,b,6/25/2024,June,6/25/2024,12,Top,1,1,0.499,121,40
RS3,RS,3,b,6/25/2024,June,6/25/2024,40,Top,1,0.78,0.511,93,34
RS3,RS,3,b,6/25/2024,June,6/25/2024,44,Top,1,1.2,0.544,122,56
RS3,RS,3,b,6/25/2024,June,6/25/2024,12,Top,2,0.68,0.401,65,31
RS3,RS,3,b,6/25/2024,June,6/25/2024,40,Top,2,1,0.525,105,35
RS3,RS,3,b,6/25/2024,June,6/25/2024,44,Top,2,1.07,0.425,125,65
RS3,RS,3,b,6/25/2024,June,6/25/2024,2,Bottom,1,0.9,0.379,92,48
RS3,RS,3,b,6/25/2024,June,6/25/2024,8,Bottom,1,0.88,0.303,120,40
RS3,RS,3,b,6/25/2024,June,6/25/2024,19,Bottom,1,1.15,0.566,107,70
RS3,RS,3,b,6/25/2024,June,6/25/2024,2,Bottom,2,0.62,0.394,95,46
RS3,RS,3,b,6/25/2024,June,6/25/2024,8,Bottom,2,1.2,0.247,119,47
RS3,RS,3,b,6/25/2024,June,6/25/2024,19,Bottom,2,1.48,0.375,140,97
RS3,RS,3,b,6/25/2024,June,6/25/2024,2,Top,1,0.91,0.446,83,33
RS3,RS,3,b,6/25/2024,June,6/25/2024,8,Top,1,1.28,0.305,140,46
RS3,RS,3,b,6/25/2024,June,6/25/2024,19,Top,1,0.99,0.48,107,54
RS3,RS,3,b,6/25/2024,June,6/25/2024,2,Top,2,0.9,0.438,90,42
RS3,RS,3,b,6/25/2024,June,6/25/2024,8,Top,2,1.19,0.549,125,40
RS3,RS,3,b,6/25/2024,June,6/25/2024,19,Top,2,0.88,0.411,116,45
