DataCollector,Date,Trial,ID,Treatment,Instar Before,MassChange,BiomassConsumed
Kevin,,3,15,Old,Neo,0.0079,0.001031477
Kevin,,3,5,New,Neo,0.01,0.001010255
Kevin,,3,7,New,Neo,0.0036,0.000847553
Kevin,,3,6,Old,Neo,0.0032,0.000700911
Kevin,,3,3,New,Neo,0.01,0.000623211
Kevin,,3,3,Old,Neo,0.003,0.000542607
Kevin,,3,25,New,Neo,0.004,0.000441313
Kevin,,3,20,New,Neo,0.0073,0.000300483
Kevin,,3,15,New,Neo,0.0026,0.000110661
Kevin,,3,8,New,Neo,0.0048,0
Kevin,,3,4,Old,Neo,0.0046,0
Kevin,,3,7,Old,Neo,0.0036,0
Kevin,,4,12,New,Neo,0.0028,0.014069152
Kevin,,4,16,Old,Neo,0.0017,0.006988323
Kevin,,4,2,New,Neo,0.0033,0.006347235
Kevin,,4,6,Old,Neo,0.0056,0.006252413
Kevin,,4,1,New,Neo,0.0043,0.005862371
Kevin,,4,5,Old,Neo,0.0026,0.005827952
Kevin,,4,11,Old,Neo,0.0037,0.005381331
Kevin,,4,10,New,Neo,0.0064,0.004737604
Kevin,,4,13,New,Neo,0.0056,0.004335232
Kevin,,4,15,Old,Neo,0.002,0.00414171
Kevin,,4,9,New,Neo,0.0086,0.00391976
Kevin,,4,7,New,Neo,0.0026,0.003530438
Kevin,,4,19,New,Neo,0.0019,0.003075616
Kevin,,4,4,New,Neo,0.0029,0.002870777
Kevin,,4,21,New,Neo,0.003,0.002737531
Kevin,,4,14,New,Neo,0.0052,0.002520018
Kevin,,4,8,Old,Neo,0.0036,0.002024709
Kevin,,4,19,Old,Neo,0.0019,0.001580311
Kevin,,4,2,Old,Neo,0.0023,0.001480965
Kevin,,4,18,New,Neo,0.004,0.00134703
Kevin,,4,5,New,Neo,0.0069,0.001275576
Kevin,,4,20,Old,Neo,0.0012,0.000802308
Kevin,,4,21,Old,Neo,0.0007,0.000648117
Kevin,,4,18,Old,Neo,0.0008,0.000239444
Kevin,,4,13,Old,Neo,0.0034,0.000224377
Kevin,,4,3,New,Neo,0.0087,0
Kevin,,4,6,New,Neo,0.0078,0
Kevin,,4,8,New,Neo,0.0035,0
Kevin,,4,11,New,Neo,0.0061,0
Kevin,,4,15,New,Neo,0.007,0
Kevin,,4,16,New,Neo,0.0047,0
Kevin,,4,17,New,Neo,0.0117,0
Kevin,,4,20,New,Neo,0.0046,0
Kevin,,4,1,Old,Neo,0.0064,0
Kevin,,4,3,Old,Neo,0.0024,0
Kevin,,4,4,Old,Neo,0.0019,0
Kevin,,4,7,Old,Neo,0.0005,0
Kevin,,4,9,Old,Neo,0.0032,0
Kevin,,4,10,Old,Neo,0.0027,0
Kevin,,4,12,Old,Neo,0.0075,0
Kevin,,4,14,Old,Neo,0.003,0
Kevin,,4,17,Old,Neo,0.0022,0
Ashley ,7/26/2023,6,1,New,Neo,0.0019,0.001809709
Ashley ,7/26/2023,6,4,New,Neo,0.0024,0.001053926
Ashley ,7/26/2023,6,5,New,Neo,0.0022,0.000947868
Ashley ,7/26/2023,6,6,New,Neo,0.0016,0.000744394
Ashley ,7/26/2023,6,3,New,Neo,0.0015,0.000721801
Ashley ,7/26/2023,6,16,Old,Neo,0.001,0.000581006
Ashley ,7/26/2023,6,11,Old,Neo,0.0009,0.000566659
Ashley ,7/26/2023,6,13,Old,Neo,0.0016,0.000559066
Ashley ,7/26/2023,6,17,Old,Neo,0.0011,0.00054588
Ashley ,7/26/2023,6,2,New,Neo,0.0015,0.000449243
Ashley ,7/26/2023,6,7,New,Neo,0.0017,0.000427424
Ashley ,7/26/2023,6,12,Old,Neo,0.0009,0.00030047
Ashley ,7/26/2023,6,8,New,Neo,0.0017,0.000298227
Ashley ,7/26/2023,6,18,Old,Neo,0.0006,0.000251813
Ashley ,7/26/2023,6,15,Old,Neo,0.0013,0.000222332
Ashley ,7/26/2023,6,14,Old,Neo,0.0015,0.000188321
