DataCollector,Date,Trial,ID,Treatment,Instar Before,MassChange,BiomassConsumed
Sami,8/25/2019,1,20,Old,3,0.0351,0.019115798
Sami,8/25/2019,1,16,Old,3,0.0519,0.020537374
Sami,8/25/2019,1,3,Old,3,0.0378,0.021382441
Sami,8/25/2019,1,5,Old,3,0.0398,0.022301016
Sami,8/25/2019,1,18,Old,3,0.0591,0.023712933
Sami,8/31/2019,2,1,New,3,0.0225,0.017233299
Sami,8/31/2019,2,15,New,3,0.02,0.020931648
Sami,8/31/2019,2,19,New,3,0.0155,0.024389305
Sami,8/31/2019,2,3,New,3,0.0158,0.027743321
Sami,8/31/2019,2,8,New,3,0.029,0.030311824
Sami,8/31/2019,2,7,New,3,0.0249,0.035114958
Sami,8/31/2019,2,2,New,3,0.0238,0.035136152
Sami,8/31/2019,2,4,New,3,0.0408,0.036548977
Sami,8/31/2019,2,14,New,3,0.0411,0.038044525
Sami,8/31/2019,2,20,New,3,0.0654,0.038979771
Sami,8/31/2019,2,5,New,3,0.0349,0.039495357
Sami,8/31/2019,2,17,New,3,0.0537,0.039728254
Sami,8/31/2019,2,16,New,3,0.0268,0.040424278
Sami,8/31/2019,2,9,New,3,0.0663,0.041681572
Sami,8/31/2019,2,21,New,3,0.0487,0.042078235
Sami,8/31/2019,2,18,New,3,0.0428,0.042797333
Sami,8/31/2019,2,6,New,3,0.05,0.042798089
Sami,8/31/2019,2,11,New,3,0.0491,0.047639944
Sami,8/31/2019,2,10,New,3,0.0617,0.047756778
Sami,8/31/2019,2,13,New,3,0.0644,0.051591963
Sami,8/31/2019,2,12,New,3,0.0627,0.056508939
Sami,8/31/2019,2,14,Old,3,0.0551,0.003591304
Sami,8/31/2019,2,19,Old,3,0.0102,0.007675769
Sami,8/31/2019,2,4,Old,3,0.0082,0.010111692
Sami,8/31/2019,2,12,Old,3,0.0116,0.011216635
Sami,8/31/2019,2,6,Old,3,0.0225,0.011683789
Sami,8/31/2019,2,11,Old,3,0.0274,0.016605647
Sami,8/31/2019,2,1,Old,3,0.0232,0.016962815
Sami,8/31/2019,2,18,Old,3,0.026,0.018373869
Sami,8/31/2019,2,2,Old,3,0.0239,0.018465803
Sami,8/31/2019,2,9,Old,3,0.0167,0.018777875
Sami,8/31/2019,2,20,Old,3,0.0313,0.018807785
Sami,8/31/2019,2,22,Old,3,0.0236,0.019776678
Sami,8/31/2019,2,7,Old,3,0.0358,0.02189329
Sami,8/31/2019,2,8,Old,3,0.0378,0.021957824
Sami,8/31/2019,2,10,Old,3,0.0304,0.023097609
Sami,8/31/2019,2,3,Old,3,0.034,0.023906061
Sami,8/31/2019,2,5,Old,3,0.0432,0.024796704
Sami,8/31/2019,2,17,Old,3,0.0216,0.026987565
Sami,8/31/2019,2,23,Old,3,0.0374,0.030023944
Sami,8/31/2019,2,16,Old,3,0.042,0.033916767
Sami,8/31/2019,2,13,Old,3,0.0442,0.037484952
Sami,9/7/2019,3,15,New,3,0.048,0.002771755
Sami,9/7/2019,3,6,New,3,0.0157,0.006929113
Sami,9/7/2019,3,21,New,3,0.018,0.009656977
Sami,9/7/2019,3,5,New,3,0.0499,0.010539959
Sami,9/7/2019,3,8,New,3,0.0157,0.011151184
Sami,9/7/2019,3,16,New,3,0.0288,0.011224094
Sami,9/7/2019,3,20,New,3,0.014,0.012541704
Sami,9/7/2019,3,2,New,3,0.0281,0.014064502
Sami,9/7/2019,3,19,New,3,0.0243,0.016045045
Sami,9/7/2019,3,18,New,3,0.032,0.016850519
Sami,9/7/2019,3,3,New,3,0.0333,0.018335664
Sami,9/7/2019,3,14,New,3,0.0336,0.02035506
Sami,9/7/2019,3,12,New,3,0.0594,0.020910851
Sami,9/7/2019,3,9,New,3,0.0253,0.021489799
Sami,9/7/2019,3,10,New,3,0.052,0.025969216
Sami,9/7/2019,3,7,New,3,0.0519,0.026782697
Sami,9/7/2019,3,4,New,3,0.0639,0.02689805
Sami,9/7/2019,3,13,New,3,0.0468,0.035452593
Sami,9/7/2019,3,17,New,3,0.0521,0.036132731
Sami,9/7/2019,3,11,New,3,0.0421,0.037072815
Sami,9/7/2019,3,15,Old,3,0.0168,0.007275832
Sami,9/7/2019,3,18,Old,3,0.0195,0.008533995
Sami,9/7/2019,3,12,Old,3,0.0193,0.010025454
Sami,9/7/2019,3,3,Old,3,0.0146,0.011871635
Sami,9/7/2019,3,10,Old,3,0.0131,0.014334789
Sami,9/7/2019,3,16,Old,3,0.037,0.016290828
Sami,9/7/2019,3,21,Old,3,0.0237,0.017712
Sami,9/7/2019,3,7,Old,3,0.0489,0.018034578
Sami,9/7/2019,3,4,Old,3,0.0504,0.018438358
Sami,9/7/2019,3,1,Old,3,0.0256,0.018526671
Sami,9/7/2019,3,5,Old,3,0.0459,0.018530864
Sami,9/7/2019,3,11,Old,3,0.0324,0.018774755
Sami,9/7/2019,3,19,Old,3,0.0285,0.02127459
Sami,9/7/2019,3,20,Old,3,0.0435,0.022014555
Sami,9/7/2019,3,9,Old,3,0.0323,0.022575956
Sami,9/7/2019,3,6,Old,3,0.0575,0.023629005
Sami,9/7/2019,3,8,Old,3,0.0365,0.023644612
Sami,9/7/2019,3,2,Old,3,0.0557,0.026933964
Sami,9/7/2019,3,13,Old,3,0.0464,0.028004356
Sami,9/7/2019,3,14,Old,3,0.0294,0.028101402
